"No.","Time","Source","Destination","Protocol","Length","Info"
"5637","614.074364","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5638","614.119410","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=13 Ack=3765 Win=65121 Len=0"
"5642","614.288347","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5643","614.336485","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=13 Ack=3811 Win=65075 Len=0"
"5645","615.031148","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5648","615.082880","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=13 Ack=3857 Win=65029 Len=0"
"5664","616.035128","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5665","616.078424","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=13 Ack=3903 Win=64983 Len=0"
"5691","622.567394","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5692","622.620129","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=13 Ack=3949 Win=64937 Len=0"
"5693","622.677439","10.112.112.19","10.112.112.11","MQTT","286","Publish Message [iot/sensor], Publish Message [iot/sensor], Ping Request, Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"5694","622.677804","10.112.112.11","10.112.112.19","MQTT","56","Ping Response"
"5695","623.181959","10.112.112.11","10.112.112.19","TCP","56","[TCP Retransmission] 1883  >  57832 [PSH, ACK] Seq=13 Ack=4181 Win=64705 Len=2"
"5696","623.211075","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5697","623.260491","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=15 Ack=4227 Win=64659 Len=0"
"5698","623.301838","10.112.112.19","10.112.112.11","TCP","54","[TCP Dup ACK 5696#1] 57832  >  1883 [ACK] Seq=4227 Ack=15 Win=5730 Len=0"
"5700","624.221818","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5701","624.274663","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [ACK] Seq=15 Ack=4273 Win=64613 Len=0"
"5732","646.503152","10.112.112.11","10.112.112.19","TCP","54","1883  >  57832 [FIN, ACK] Seq=15 Ack=4273 Win=64613 Len=0"
"5733","647.016937","10.112.112.11","10.112.112.19","TCP","54","[TCP Retransmission] 1883  >  57832 [FIN, ACK] Seq=15 Ack=4273 Win=64613 Len=0"
"5735","647.908312","10.112.112.11","10.112.112.19","TCP","54","[TCP Retransmission] 1883  >  57832 [FIN, ACK] Seq=15 Ack=4273 Win=64613 Len=0"
"5743","649.061064","10.112.112.19","10.112.112.11","MQTT","1114","[TCP Previous segment not captured] , Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Ping Request, Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"5744","649.061064","10.112.112.19","10.112.112.11","TCP","58","57833  >  1883 [SYN] Seq=0 Win=5744 Len=0 MSS=1436"
"5745","649.061144","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 5701#1] 1883  >  57832 [ACK] Seq=16 Ack=4273 Win=64613 Len=0"
"5746","649.061349","10.112.112.11","10.112.112.19","TCP","58","1883  >  57833 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"5747","649.080559","10.112.112.19","10.112.112.11","TCP","54","57833  >  1883 [ACK] Seq=1 Ack=1 Win=5744 Len=0"
"5748","649.080559","10.112.112.19","10.112.112.11","MQTT","84","Connect Command"
"5749","649.081152","10.112.112.11","10.112.112.19","MQTT","58","Connect Ack"
"5750","649.094669","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"5751","649.140290","10.112.112.11","10.112.112.19","TCP","54","1883  >  57833 [ACK] Seq=5 Ack=77 Win=65459 Len=0"
"5854","671.501378","10.112.112.11","10.112.112.19","TCP","54","1883  >  57833 [FIN, ACK] Seq=5 Ack=77 Win=65459 Len=0"
"5855","671.814281","10.112.112.11","10.112.112.19","TCP","54","[TCP Retransmission] 1883  >  57833 [FIN, ACK] Seq=5 Ack=77 Win=65459 Len=0"
"5856","672.342018","10.112.112.19","10.112.112.11","TCP","58","57834  >  1883 [SYN] Seq=0 Win=5744 Len=0 MSS=1436"
"5857","672.342411","10.112.112.11","10.112.112.19","TCP","58","1883  >  57834 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"5858","672.424440","10.112.112.11","10.112.112.19","TCP","54","[TCP Retransmission] 1883  >  57833 [FIN, ACK] Seq=5 Ack=77 Win=65459 Len=0"
